ParcelIndex,AreaName,AreaDescription,New?,Sections,SectionsBOLD,ColourRGB,OtherNames
1,L_V1,Primary Visual Cortex,No,"1,2",1,"180,182,255","17, hOC1, OC, BA17"
2,L_MST,"Medial Superior Temporal Area",No,"5,15",5,"184,60,27","MSTv, hOC5, hOC5v"
3,L_V6,Sixth Visual Area,No,"2,3,18",3,"173,192,0",112
4,L_V2,Second Visual Area,No,"1,2",2,"0,115,155","18, hOC2, OB, BA18"
5,L_V3,Third Visual Area,No,2,2,"0,115,155","V3d, V3v, VP, hOC3d, hOC3v"
6,L_V4,Fourth Visual Area,No,"2,3,4,5",2,"0,115,155","V4d, V4v, hV4, hOC4v, hOC4lp, LO1"
7,L_V8,Eighth Visual Area,No,"2,4,5",4,"68,53,0",VO1
8,L_4,"Primary Motor Cortex",No,"6,7,8,9",6,"205,206,123","BA4, 4a, 4p, M1, PMC, F1"
9,L_3b,"Primary Sensory Cortex",No,"6,7,9",6,"205,206,123","S1, 3"
10,L_FEF,Frontal Eye Fields,No,"6,8,22",8,"120,98,178",
11,L_PEF,Premotor Eye Field,No,"6,8,21,22",8,"120,98,178",6v2
12,L_55b,Area 55b,No,"6,8,22",8,"120,98,178",
13,L_V3A,Area V3A,No,"2,3",3,"173,192,0","V3D, hOC4d"
14,L_RSC,RetroSplenial Complex,No,"13,18",18,"247,126,247","29,30"
15,L_POS2,Parieto-Occipital Sulcus Area 2,Yes*,"16,18",18,"247,126,247",
16,L_V7,Seventh Visual Area,No,3,3,"173,192,0",IPS0
17,L_IPS1,IntraParietal Sulcus Area 1,No,"3,16,17",3,"173,192,0",
18,L_FFC,Fusiform Face Complex,No,"4,5,14",4,"68,53,0","FFA, FG2"
19,L_V3B,Area V3B,No,"3,5,17",3,"173,192,0",V3C
20,L_LO1,Area Lateral Occipital 1,No,"2,5",5,"184,60,27","LO2, hOC4la"
21,L_LO2,Area Lateral Occipital 2,No,"2,4,5",5,"184,60,27","LO1, hOC4la"
22,L_PIT,"Posterior InferoTemporal complex",No,"2,4,5",4,"68,53,0","phPITv, phPITd, OFA, hOC4la"
23,L_MT,"Middle Temporal Area",No,"5,15",5,"184,60,27","hOC5, hOC5d"
24,L_A1,Primary Auditory Cortex,No,10,10,"230,98,192","Core, R1, TC, TE1.0, TE1.1, 41"
25,L_PSL,"PeriSylvian Language Area",Yes,"9,10,11,15,17",15,"0,92,66",
26,L_SFL,"Superior Frontal Language Area",Yes,"7,19,22",22,"0,233,255",
27,L_PCV,"PreCuneus Visual Area",No,"7,16,18",18,"247,126,247",PrCu
28,L_STV,"Superior Temporal Visual Area",Yes,"11,15,17",15,"0,92,66",
29,L_7Pm,Medial Area 7P,Yes,"16,18",16,"75,59,69",7P
30,L_7m,Area 7m,No,"16,18",18,"247,126,247",
31,L_POS1,"Parieto-Occipital Sulcus Area 1",Yes*,18,18,"247,126,247","""Retrosplenial Cortex"""
32,L_23d,Area 23d,No,"18,19",18,"247,126,247",
33,L_v23ab,Area ventral 23 a+b,No,18,18,"247,126,247","23a, 23b, v23"
34,L_d23ab,Area dorsal 23 a+b,No,18,18,"247,126,247","23a, 23b, d23"
35,L_31pv,Area 31p ventral,Yes*,18,18,"247,126,247","31, 31d, 31v"
36,L_5m,Area 5m,No,"6,7",7,"237,156,0",
37,L_5mv,Area 5m ventral,Yes*,"7,16,18",7,"237,156,0",5ci
38,L_23c,Area 23c,No,"7,18,19",7,"237,156,0",
39,L_5L,Area 5L,No,"6,7,16",7,"237,156,0",
40,L_24dd,Dorsal Area 24d,No,"6,7,18",7,"237,156,0",24d
41,L_24dv,Ventral Area 24d,No,"7,19",7,"237,156,0",24d
42,L_7AL,Lateral Area 7A,Yes*,"6,7,16",16,"75,59,69",
43,L_SCEF,"Supplementary and Cingulate Eye Field",Yes*,"7,19,22",7,"237,156,0","SEF, CEF, 6, SMA, SMAr"
44,L_6ma,Area 6m anterior,Yes*,"7,8,22",7,"237,156,0","SMAr, 6, SMA"
45,L_7Am,Medial Area 7A,Yes*,"7,16,18",16,"75,59,69",
46,L_7Pl,Lateral Area 7P,Yes*,"16,18",16,"75,59,69",
47,L_7PC,Area 7PC,No,"6,16",16,"75,59,69",
48,L_LIPv,"Area Lateral IntraParietal ventral",Yes*,16,16,"75,59,69",hIP3
49,L_VIP,Ventral IntraParietal Complex,Yes*,16,16,"75,59,69",
50,L_MIP,Medial IntraParietal Area,Yes*,"3,16,17",16,"75,59,69",
51,L_1,Area 1,No,"6,7,9,17",6,"205,206,123",
52,L_2,Area 2,No,"6,7,16,17",6,"205,206,123",
53,L_3a,Area 3a,No,"6,7,9,17",6,"205,206,123",
54,L_6d,Dorsal area 6,Yes*,"6,7,8",8,"120,98,178","6, 6aα"
55,L_6mp,Area 6mp,Yes*,"6,7,8",7,"237,156,0","SMAc, 6, SMA"
56,L_6v,Ventral Area 6,No,"6,8,9",8,"120,98,178","6, 6v1"
57,L_p24pr,"Area Posterior 24 prime",No,"7,18,19",19,"52,134,17",p24'
58,L_33pr,Area 33 prime,No,"18,19",19,"52,134,17","33', 16"
59,L_a24pr,Anterior 24 prime,No,19,19,"52,134,17",a24'
60,L_p32pr,Area p32 prime,Yes*,"7,19",19,"52,134,17",32'
61,L_a24,Area a24,Yes*,19,19,"52,134,17","24, s24"
62,L_d32,Area dorsal 32,No,19,19,"52,134,17",32
63,L_8BM,Area 8BM,Yes*,"7,19,22",19,"52,134,17",8B
64,L_p32,Area p32,No,"19,20",19,"52,134,17","32ac, 32"
65,L_10r,Area 10r,Yes*,"19,20",19,"52,134,17",
66,L_47m,Area 47m,No,"20,21",20,"44,224,0",
67,L_8Av,Area 8Av,Yes*,"8,22",22,"0,233,255",
68,L_8Ad,Area 8Ad,Yes*,22,22,"0,233,255",
69,L_9m,Area 9 Middle,Yes*,"19,20,22",19,"52,134,17",9
